X,Y
-0.0351508955728287,-0.0477314971274079
-0.0331446434606286,-0.0512925256280275
-0.042005407232173,-0.0559339303818858
-0.0436985468063535,-0.0597274417032781
-0.0507905260786302,-0.0630943730990199
-0.0555932747549848,-0.0641155795876985
-0.0591697645600991,-0.0652645882618002
-0.062261405880365,-0.0642328489354512
-0.0613332206826631,-0.0622281176072998
-0.0681252112200068,-0.0616503323194773
-0.0745586346738763,-0.0609041906049341
-0.0788568773234201,-0.0591269009800608
-0.0796158612143742,-0.0551784104990425
-0.0795533964177087,-0.04889624873268
-0.0789052044609665,-0.0425797566745522
-0.0746682437760505,-0.0339986763546243
-0.0711894221020615,-0.025883406556269
-0.0674511377717697,-0.0179498986143968
-0.0651537681649206,-0.0119705981750591
-0.0648805339641771,-0.00940604934099358
-0.0649273403176749,-0.00890780950771657
-0.0674783710713079,-0.0109526698208854
-0.0720392024332545,-0.0156666103413315
-0.0762276106792835,-0.0204294806804101
-0.0790185873605948,-0.0273913484285232
-0.0801085670834741,-0.0308271375464684
-0.0793197026022305,-0.0330824602906387
-0.0775851639067252,-0.0347620817843866
-0.0749732454658105,-0.03625
-0.0727592091922947,-0.0386155795876985
-0.0703276444744846,-0.0404629942548158
-0.0671788047763884,-0.041752281176073
-0.0638450490030416,-0.0436367015883744
-0.0614281288723668,-0.0452412132477188
-0.0608099019939169,-0.0499158499493072
-0.05820125042244,-0.0495224738087192
-0.0556988565956967,-0.0505921200856145
-0.0540530584656979,-0.053789624873268
-0.050472625887124,-0.0517201757350456
-0.0471838740565506,-0.0512966092148248
-0.0454760054072322,-0.0538335586346739
-0.0414793849273403,-0.0505214599526867
-0.0385694773008899,-0.0497278078179565
-0.0351890841500507,-0.0478066914498141
-0.0329525740678157,-0.0473707333558635
-0.0297306522473809,-0.0453534978033119
-0.0269646840148699,-0.0425337952010814
-0.0255869099921145,-0.0434368311366453
-0.023355187563366,-0.0418382899628253
-0.0209530246704968,-0.0391943224062183
-0.0219861721302242,-0.0433438943336713
-0.0225687732342007,-0.04404562352146
-0.024723865044497,-0.0467229920018024
-0.0264248056775938,-0.0482815140250084
-0.0260623521459953,-0.0467615748563704
-0.0301982651796778,-0.0544726540497916
-0.0324474484623183,-0.0598918553565394
-0.0318149712740791,-0.0599395065900642
-0.0306526698208854,-0.0589395347527318
-0.0298801960121663,-0.0604611355187563
-0.0281929705981751,-0.0595202771206489
-0.0267907232173031,-0.06007364537569
-0.0238337276106793,-0.0578142953700574
-0.018901655964853,-0.0496476850287259
-0.0192387630956404,-0.0562304832713755
-0.0171826630618452,-0.05529874957756
-0.0140870367241185,-0.0522941309000789
-0.00989587698546806,-0.0446507265968233
